movie,url,themes,violence,language,drug_use,nudity,sex,consumer_advice
Interstellar,https://www.classification.gov.au/titles/interstellar,moderate,mild,moderate,none,none,none,Science fiction themes and infrequent coarse language
Maleficent,https://www.classification.gov.au/titles/maleficent-0,moderate,moderate,none,none,none,none,Fantasy themes and violence
The Amazing Spider-Man 2,https://www.classification.gov.au/titles/amazing-spider-man-2-rise-electro-0,mild,moderate,mild,none,none,none,Action violence
The Hobbit The Battle Of The Five Armies,https://www.classification.gov.au/titles/hobbit-battle-five-armies-0,moderate,moderate,mild,none,none,none,Fantasy violence
The Hunger Games Mockingjay - Part 1,https://www.classification.gov.au/titles/hunger-games-mockingjay-part-1,moderate,moderate,none,none,none,none,Mature themes and violence
Transformers Age of Extinction,https://www.classification.gov.au/titles/transformers-age-extinction,moderate,moderate,moderate,none,none,mild,Action violence and coarse language
X-Men Days Of Future Past,https://www.classification.gov.au/titles/x-men-days-future-past,moderate,moderate,moderate,none,mild,none,"Science fiction themes, violence and infrequent coarse language"
Despicable Me 2,https://www.classification.gov.au/titles/despicable-me-2-1,very mild,mild,very mild,none,very mild,none,Mild animated violence
Fast and Furious 6,https://www.classification.gov.au/titles/furious-6,very mild,moderate,moderate,none,mild,mild,Action violence and infrequent coarse language
Frozen,https://www.classification.gov.au/titles/frozen-1,mild,mild,none,none,none,none,"Some scenes may scare very young children"
Iron Man 3,https://www.classification.gov.au/titles/iron-man-three-0,mild,moderate,mild,mild,none,mild,Action violence
Man of Steel,https://www.classification.gov.au/titles/man-steel-0,moderate,moderate,mild,none,very mild,none,Science fiction violence
Monsters University,https://www.classification.gov.au/titles/monsters-university,very mild,none,very mild,none,none,none,The content is very mild in impact
The Hobbit The Desolation of Smaug,https://www.classification.gov.au/titles/hobbit-desolation-smaug-0,moderate,moderate,none,none,none,very mild,Fantasy violence
The Hunger Games Catching Fire,https://www.classification.gov.au/titles/hunger-games-catching-fire,moderate,moderate,mild,none,none,mild,Mature themes and violence
Thor The Dark World,https://www.classification.gov.au/titles/thor-dark-world-0,moderate,moderate,mild,none,very mild,mild,Action violence
Batman The Dark Knight Rises,https://www.classification.gov.au/titles/dark-knight-rises,mild,moderate,mild,very mild,none,mild,Violence
Gone Girl,https://www.classification.gov.au/titles/gone-girl,moderate,strong,strong,very mild,moderate,strong,"Strong sexualised violence, blood, sex scenes and coarse language"
Logan,https://www.classification.gov.au/titles/logan,moderate,strong,moderate,none,moderate,none,Strong bloody violence
The Hobbit An Unexpected Journey,https://www.classification.gov.au/titles/hobbit-unexpected-journey-0,moderate,moderate,none,mild,none,none,Fantasy violence
Prisoners,https://www.classification.gov.au/titles/prisoners,strong,strong,moderate,none,none,none,Strong themes and violence
Knives Out,https://www.classification.gov.au/titles/knives-out,moderate,mild,moderate,mild,none,mild,Mature themes and coarse language
Blonde,https://www.classification.gov.au/titles/blonde-5,high,high,moderate,moderate,high,high,"High impact themes, sexual violence, sex and nudity"
John Wick,https://www.classification.gov.au/titles/john-wick,moderate,strong,moderate,mild,very mild,none,Strong violence
Blade Runner 2049,https://www.classification.gov.au/titles/blade-runner-2049-0,moderate,strong,moderate,none,moderate,mild,Strong violence
The Hateful Eight,https://www.classification.gov.au/titles/hateful-eight-0,strong,high,moderate,none,strong,strong,High impact violence
Baby Driver,https://www.classification.gov.au/titles/baby-driver-0,moderate,strong,moderate,mild,none,moderate,Strong violence
IT,https://www.classification.gov.au/titles/it-8,strong,strong,moderate,mild,none,moderate,Strong horror themes and violence
Nightcrawler,https://www.classification.gov.au/titles/nightcrawler-0,strong,strong,moderate,none,none,none,Strong themes and violence
Ex Machina,https://www.classification.gov.au/titles/ex-machina,strong,strong,moderate,none,strong,moderate,"Strong themes, violence and nudity"
Looper,https://www.classification.gov.au/titles/looper,strong,strong,moderate,moderate,moderate,mild,Strong violence
The Conjuring,https://www.classification.gov.au/titles/conjuring,strong,strong,mild,none,none,very mild,Strong horror themes and violence
Fury,https://www.classification.gov.au/titles/fury-0,strong,strong,strong,none,none,moderate,"Strong war themes, violence, blood and gore and coarse language"
Lucy,https://www.classification.gov.au/titles/lucy,strong,strong,mild,moderate,none,moderate,Strong themes and violence
John Wick Chapter 2,https://www.classification.gov.au/titles/john-wick-chapter-2,strong,strong,moderate,mild,mild,none,Strong action violence
Rush,https://www.classification.gov.au/titles/rush-0,strong,moderate,moderate,moderate,moderate,moderate,Injury detail and coarse language
Sicario,https://www.classification.gov.au/titles/sicario,strong,strong,moderate,mild,moderate,mild,Strong themes and violence
We're the Millers,https://www.classification.gov.au/titles/were-millers,moderate,moderate,strong,moderate,strong,strong,"Strong coarse language, sexual references and nudity"
Deadpool and Wolverine,https://www.classification.gov.au/titles/deadpool-wolverine,strong,strong,strong,mild,none,strong,"Strong crude sexual humour, bloody violence and coarse language"
Midsommar,https://www.classification.gov.au/titles/midsommar,high,high,moderate,strong,strong,strong,High impact injury detail
This Is The End,https://www.classification.gov.au/titles/end-1,strong,strong,strong,strong,strong,strong,"Strong crude humour, coarse language, sexual references, comedic violence, nudity and drug use"
The Suicide Squad,https://www.classification.gov.au/titles/suicide-squad-1,strong,high,strong,strong,moderate,moderate,High impact violence
22 Jump Street,https://www.classification.gov.au/titles/22-jump-street,moderate,moderate,strong,moderate,very mild,moderate,Strong coarse language and sexual references
Hereditary,https://www.classification.gov.au/titles/hereditary,strong,mild,moderate,moderate,moderate,mild,Strong horror themes
Snowpiercer,https://www.classification.gov.au/titles/snowpiercer,strong,strong,moderate,moderate,very mild,mild,Strong themes and violence
Bird Box,https://www.classification.gov.au/titles/bird-box,strong,strong,moderate,mild,moderate,strong,"Strong violence, strong sex scenes, strong suicide themes"
The Nice Guys,https://www.classification.gov.au/titles/nice-guys,moderate,strong,moderate,moderate,strong,strong,"Strong violence, sex, nudity and coarse language"
Flight,https://www.classification.gov.au/titles/flight,strong,mild,moderate,strong,moderate,moderate,"Strong themes, drug use and nudity"
Cloud Atlas,https://www.classification.gov.au/titles/cloud-atlas,strong,strong,strong,mild,moderate,strong,"Strong violence, sex scene and coarse language"
The Interview,https://www.classification.gov.au/titles/interview-3,moderate,strong,strong,moderate,moderate,strong,"Strong coarse language, sexual references and bloody violence"
Nobody,https://www.classification.gov.au/titles/nobody-0,moderate,strong,moderate,moderate,none,moderate,Strong action violence
The Hangover Part III,https://www.classification.gov.au/titles/hangover-part-iii,moderate,moderate,strong,moderate,strong,moderate,"Strong coarse language, nudity and crude humour"
Fifty Shades of Grey,https://www.classification.gov.au/titles/fifty-shades-grey,strong,very mild,moderate,none,strong,strong,"Strong sex scenes, sexual themes and nudity"
Bad Neighbours,https://www.classification.gov.au/titles/bad-neighbours,moderate,moderate,strong,strong,strong,strong,"Strong sexual references, sex scenes, coarse language, drug use and nudity"
Uncut Gems,https://www.classification.gov.au/titles/uncut-gems,strong,strong,strong,moderate,mild,moderate,"Strong violence, strong blood and gore, strong coarse language, strong crude humour"
Dredd,https://www.classification.gov.au/titles/dredd,moderate,strong,moderate,strong,moderate,moderate,"Strong violence, blood and gore and drug use"
Kick-Ass 2,https://www.classification.gov.au/titles/kick-ass-2,mild,strong,strong,mild,moderate,strong,"Strong violence, coarse language and sexual references"
It Follows,https://www.classification.gov.au/titles/it-follows,strong,strong,moderate,mild,moderate,strong,"Strong supernatural themes, violence and sex scenes"
Focus,https://www.classification.gov.au/titles/focus-0,moderate,strong,moderate,very mild,moderate,strong,"Strong violence, sex scenes and coarse language"
The Lighthouse,https://www.classification.gov.au/titles/lighthouse-6,strong,strong,moderate,none,moderate,strong,Strong sexual themes and violence
End of Watch,https://www.classification.gov.au/titles/end-watch,moderate,strong,strong,moderate,none,moderate,Strong violence and coarse language
"I, Tonya",https://www.classification.gov.au/titles/i-tonya,moderate,moderate,strong,none,moderate,strong,Strong coarse language and sex scene
Don Jon,https://www.classification.gov.au/titles/don-jon-0,moderate,mild,moderate,moderate,moderate,strong,"Strong sex scenes, sexual references, nudity and coarse language"
Pain and Gain,https://www.classification.gov.au/titles/pain-gain,moderate,strong,strong,strong,moderate,moderate,"Strong violence, drug use, coarse language and sexual references"
100 Streets,https://www.classification.gov.au/titles/100-streets,moderate,moderate,strong,strong,moderate,strong,"Strong coarse language, sex scene and drug use"
6 Balloons,https://www.classification.gov.au/titles/6-balloons,strong,very mild,moderate,strong,none,very mild,"Strong themes, strong drug use"
A Futile and Stupid Gesture,https://www.classification.gov.au/titles/futile-and-stupid-gesture,moderate,moderate,strong,strong,mild,mild,"Strong coarse language, strong drug use"
A Jazzman's Blues,https://www.classification.gov.au/titles/jazzmans-blues,moderate,strong,moderate,strong,very mild,moderate,"Strong violence, sexual violence, drug use"
ABCs of Death 2,https://www.classification.gov.au/titles/abcs-death-2,high,high,strong,strong,high,strong,"High impact horror themes, violence, sexual violence and nudity"
Amsterdam,https://www.classification.gov.au/titles/amsterdam,strong,moderate,moderate,strong,none,none,Strong injury detail and occasional drug use
Beyond the Black Rainbow,https://www.classification.gov.au/titles/beyond-black-rainbow,strong,strong,moderate,strong,mild,strong,"Strong drug themes, sexual references and violence"
Big Time Adolescence,https://www.classification.gov.au/titles/big-time-adolescence,moderate,mild,moderate,strong,mild,moderate,Strong drug use and coarse language
Born to Be Blue,https://www.classification.gov.au/titles/born-be-blue,strong,moderate,moderate,strong,mild,moderate,"Strong themes, strong drug use"
Catch the Fair One,https://www.classification.gov.au/titles/catch-fair-one,strong,strong,strong,strong,moderate,moderate,"Strong themes, violence, sexual violence and coarse language"
Creation Stories,https://www.classification.gov.au/titles/creation-stories,moderate,moderate,strong,strong,none,moderate,Strong coarse language and drug use
Cruise,https://www.classification.gov.au/titles/cruise,moderate,moderate,strong,strong,mild,moderate,Strong drug use and coarse language
Diary of a Teenage Girl,https://www.classification.gov.au/titles/diary-teenage-girl,strong,none,moderate,strong,strong,strong,"Strong sex scenes, sexual references, nudity and drug use"
Dirty Grandpa,https://www.classification.gov.au/titles/dirty-grandpa,moderate,moderate,strong,strong,strong,strong,"Strong sex scene, crude sexual references, nudity, drug use and coarse language"
Dog Eat Dog,https://www.classification.gov.au/titles/dog-eat-dog,strong,strong,strong,strong,strong,high,Brief depictions of actual sexual activity
Filth,https://www.classification.gov.au/titles/filth,strong,strong,strong,strong,strong,high,High impact sex scenes
Heaven Knows What,https://www.classification.gov.au/titles/heaven-knows-what,strong,strong,strong,high,moderate,mild,High impact drug use
How High 2,https://www.classification.gov.au/titles/how-high-2,moderate,mild,moderate,strong,very mild,moderate,Strong drug use
Ill Manors,https://www.classification.gov.au/titles/ill-manors,strong,strong,high,strong,mild,strong,High impact coarse language and drug use
Inherent Vice,https://www.classification.gov.au/titles/inherent-vice,moderate,moderate,moderate,strong,strong,strong,"Strong sex scenes, frequent drug use and nudity"
Kill Your Friends,https://www.classification.gov.au/titles/kill-your-friends,moderate,strong,strong,strong,moderate,strong,"Strong coarse language, violence, sex and drug use"
Mandy,https://www.classification.gov.au/titles/mandy,strong,strong,moderate,strong,strong,strong,"Strong horror themes, bloody violence, drug use, sex and nudity"
Margaux,https://www.classification.gov.au/titles/margaux,strong,strong,strong,strong,mild,moderate,"Strong horror violence, coarse language and drug use"
Mercury Plains,https://www.classification.gov.au/titles/mercury-plains,strong,strong,strong,strong,none,strong,Strong themes and coarse language
All Of Us Strangers,https://www.classification.gov.au/titles/all-us-strangers,moderate,none,strong,strong,moderate,moderate,Strong drug use and coarse language
Abominable,https://www.classification.gov.au/titles/abominable,very mild,very mild,none,none,none,none,"Some scenes may scare very young children"
Cars 3,https://www.classification.gov.au/titles/cars-3-1,very mild,none,very mild,none,none,none,Very mild themes and coarse language
Apollo 11,https://www.classification.gov.au/titles/apollo-11,very mild,none,very mild,none,none,none,General
Mary Poppins Returns,https://www.classification.gov.au/titles/mary-poppins-returns,very mild,none,none,none,none,none,A scene of very mild peril
The Boss Baby,https://www.classification.gov.au/titles/boss-baby,very mild,very mild,very mild,none,very mild,none,Very mild themes
The Grinch,https://www.classification.gov.au/titles/grinch-2,very mild,none,very mild,none,none,none,General
Tom and Jerry,https://www.classification.gov.au/titles/tom-and-jerry-3,very mild,very mild,very mild,none,none,none,"Very mild themes, animated violence and coarse language"
Adventures in Zambezia,https://www.classification.gov.au/titles/adventures-zambezia,very mild,very mild,none,none,none,none,The content is very mild in impact
War Room,https://www.classification.gov.au/titles/war-room-0,mild,mild,very mild,none,none,very mild,Mild themes and violence
Wreck-It Ralph,https://www.classification.gov.au/titles/wreck-it-ralph-1,very mild,mild,very mild,none,none,none,Mild animated violence
Alice Through the Looking Glass,https://www.classification.gov.au/titles/alice-through-looking-glass,mild,mild,very mild,none,none,none,"Mild themes, some scenes may scare young children"
Battle of the Sexes,https://www.classification.gov.au/titles/battle-sexes-0,mild,none,mild,none,very mild,mild,"Mild themes, sexual references and coarse language"
Big Hero 6,https://www.classification.gov.au/titles/big-hero-6-0,mild,mild,very mild,none,none,none,Mild themes and animated violence
Brave,https://www.classification.gov.au/titles/brave-0,mild,mild,none,none,very mild,none,Some scary scenes
Dragon Rider,https://www.classification.gov.au/titles/dragon-rider-3,mild,mild,very mild,none,none,none,Mild fantasy themes and animated violence
Duck Duck Goose,https://www.classification.gov.au/titles/duck-duck-goose,mild,mild,mild,none,none,very mild,"Mild animated violence, crude humour and coarse language"
Dream Horse,https://www.classification.gov.au/titles/dream-horse-0,mild,none,mild,none,none,very mild,Mild themes and coarse language
Earwig and the Witch,https://www.classification.gov.au/titles/earwig-and-witch,mild,very mild,none,none,none,none,Mild supernatural themes
Frankenweenie,https://www.classification.gov.au/titles/frankenweenie,mild,none,mild,none,none,none,Scary scenes and infrequent mild coarse language
Goosebumps,https://www.classification.gov.au/titles/goosebumps,mild,mild,none,none,none,none,Mild scary scenes
He Named Me Malala,https://www.classification.gov.au/titles/he-named-me-malala-0,mild,mild,none,none,none,none,"Mild themes, some distressing images"
Grace of Monaco,https://www.classification.gov.au/titles/grace-monaco,mild,mild,mild,none,very mild,mild,"Mild themes, sexual reference and infrequent coarse language"
The Dead Lands,https://www.classification.gov.au/titles/dead-lands,strong,strong,mild,mild,very mild,moderate,Strong themes and violence
The Adventures of Sharkboy and Lavagirl,https://www.classification.gov.au/titles/adventures-sharkboy-and-lavagirl-3-d-1,,,,,,,The content is very mild in impact
Earth to Echo,https://www.classification.gov.au/titles/earth-echo,mild,very mild,none,none,none,none,Mild themes and coarse language
Hick,https://www.classification.gov.au/titles/hick,strong,moderate,moderate,strong,none,mild,"Strong themes, drug use and violence"
Horns,https://www.classification.gov.au/titles/horns,strong,high,strong,strong,strong,strong,"High impact violence, blood and gore"
Spike Island,https://www.classification.gov.au/titles/spike-island,moderate,moderate,strong,strong,none,moderate,"Strong coarse language, drug use and sexual references"
Spontaneous,https://www.classification.gov.au/titles/spontaneous,strong,mild,moderate,strong,none,moderate,"Strong bloody science fiction themes, drug use and coarse language"
Austenland,https://www.classification.gov.au/titles/austenland,none,mild,mild,none,none,mild,"Mild sexual references, coarse language and violence"
Rock Dog,https://www.classification.gov.au/titles/rock-dog,none,very mild,very mild,none,none,none,Very mild animated violence and coarse language
Whitney Can I Be Me,https://www.classification.gov.au/titles/whitney-can-i-be-me,moderate,very mild,moderate,moderate,none,moderate,Mature themes and coarse language
The Perks of Being a Wallflower,https://www.classification.gov.au/titles/perks-being-wallflower,moderate,very mild,moderate,moderate,none,moderate,"Mature themes, drug use, sexual references and coarse language"
Army of One,https://www.classification.gov.au/titles/army-one,mild,mild,moderate,moderate,none,mild,Coarse language and drug use
The Meddler,https://www.classification.gov.au/titles/meddler,mild,very mild,moderate,moderate,none,mild,Drug references and infrequent coarse language
Table 19,https://www.classification.gov.au/titles/table-19,mild,none,mild,moderate,mild,mild,Drug use
Spoiler Alert,https://www.classification.gov.au/titles/spoiler-alert-3,mild,none,mild,moderate,mild,moderate,Sex and drug use
LOL,https://www.classification.gov.au/titles/lol,mild,mild,mild,moderate,very mild,moderate,Sexual references and drug use
Foxcatcher,https://www.classification.gov.au/titles/foxcatcher,mild,moderate,mild,moderate,very mild,moderate,Drug use and violence
Don't Think Twice,https://www.classification.gov.au/titles/dont-think-twice,mild,mild,moderate,moderate,mild,mild,Coarse language and drug use
Brigsby Bear,https://www.classification.gov.au/titles/brigsby-bear,mild,very mild,mild,moderate,none,moderate,Sex scenes and drug use
Jesus Revolution,https://www.classification.gov.au/titles/jesus-revolution,moderate,none,none,moderate,none,none,Mature themes and drug references
Locked Down,https://www.classification.gov.au/titles/locked-down-0,mild,none,moderate,moderate,very mild,mild,Coarse language and drug references
I'll See You in My Dreams,https://www.classification.gov.au/titles/ill-see-you-my-dreams,mild,none,moderate,moderate,none,mild,Drug use and infrequent coarse language
T2 Trainspotting,https://www.classification.gov.au/titles/t2-trainspotting,high,strong,strong,strong,strong,strong,"High impact themes, coarse language and drug use"
Zola,https://www.classification.gov.au/titles/zola,strong,strong,strong,mild,strong,strong,"Strong themes, sex, nudity, sexual violence and coarse language"
Zone 414,https://www.classification.gov.au/titles/zone-414,strong,strong,moderate,moderate,moderate,moderate,Strong themes and violence
Zombies 2,https://www.classification.gov.au/titles/zombies-2-1,mild,very mild,none,none,none,none,Mild themes
A Minecraft Movie,https://www.classification.gov.au/titles/minecraft-movie,mild,mild,mild,none,none,none,"Mild fantasy violence and coarse language, some scenes may scare young children"
A Monster Calls,https://www.classification.gov.au/titles/monster-calls,mild,mild,mild,none,none,none,"Mild themes and violence, some scenes may scare children"
A Street Cat Named Bob,https://www.classification.gov.au/titles/street-cat-named-bob,mild,very mild,mild,mild,none,none,Mild themes of drug addiction and coarse languagae
A Tourist's Guide to Love,https://www.classification.gov.au/titles/tourists-guide-love,very mild,none,very mild,none,none,none,"Themes, very mild coarse language"
A United Kingdom,https://www.classification.gov.au/titles/united-kingdom,mild,mild,mild,none,none,very mild,"Mild themes, violence and coarse language"
Churchill's Secret,https://www.classification.gov.au/titles/churchills-secret,mild,none,mild,none,none,none,Mild themes and coarse language
The Last Screenwriter,n/a,,,,,,,
Conclave,https://www.classification.gov.au/titles/conclave,mild,mild,none,none,none,none,Mild themes
Listen,https://www.classification.gov.au/titles/listen-5,mild,mild,moderate,none,moderate,moderate,"Coarse language, nudity, sex scenes"
Legends of the Hidden Temple,n/a,,,,,,,
Cop and a Half - New Recruit,https://www.classification.gov.au/titles/cop-and-half-new-recruit,mild,mild,none,none,none,none,Mild themes and violence
Cruella,https://www.classification.gov.au/titles/cruella,mild,mild,very mild,none,very mild,none,"Mild themes, violence and sense of threat"
Dad's Army,https://www.classification.gov.au/titles/dads-army,mild,mild,very mild,none,mild,very mild,"Mild themes, violence and nudity"
The Confirmation,https://www.classification.gov.au/titles/confirmation,mild,mild,mild,mild,none,none,"Mild themes, coarse language and violence"
Darling Companion,https://www.classification.gov.au/titles/darling-companion,very mild,very mild,mild,none,none,mild,Mild coarse language and sexual references
Dater's Handbook,https://www.classification.gov.au/titles/daters-handbook,very mild,none,none,none,none,none,Very mild themes
DC League of Super-Pets,https://www.classification.gov.au/titles/dc-league-superpets,mild,mild,mild,none,none,none,Mild animated fantasy violence and coarse language
Descendants 3,https://www.classification.gov.au/titles/descendants-3,mild,mild,very mild,none,none,none,Mild fantasy themes and violence
Dog Man,https://www.classification.gov.au/titles/dog-man-0,very mild,very mild,very mild,none,none,none,"Very mild themes, animated violence and coarse language"
East Side Sushi,https://www.classification.gov.au/titles/east-side-sushi,very mild,mild,very mild,none,none,none,Mild violence
Echo in the Canyon,https://www.classification.gov.au/titles/echo-canyon,very mild,none,mild,mild,none,very mild,Mild coarse language and drug references
Enchanted Kingdom,https://www.classification.gov.au/titles/enchanted-kingdom,none,none,none,none,none,none,General
Emma's Chance,https://www.classification.gov.au/titles/emmas-chance,very mild,none,none,none,none,none,Very mild themes
Ferdinand,https://www.classification.gov.au/titles/ferdinand,very mild,very mild,very mild,none,none,none,Very mild themes and coarse language
Blair Witch,https://www.classification.gov.au/titles/blair-witch-0,strong,moderate,moderate,mild,none,mild,Strong supernatural themes
Clemency,https://www.classification.gov.au/titles/clemency,strong,none,moderate,none,none,very mild,Strong themes
Disappearance at Clifton Hill,https://www.classification.gov.au/titles/disappearance-clifton-hill,strong,moderate,moderate,none,none,mild,Strong themes
Disconnect,https://www.classification.gov.au/titles/disconnect,strong,moderate,moderate,moderate,moderate,moderate,Strong themes
Ferrari,https://www.classification.gov.au/titles/ferrari-3,strong,mild,moderate,none,mild,moderate,Strong injury detail
Flag Day,https://www.classification.gov.au/titles/flag-day,strong,moderate,moderate,moderate,moderate,moderate,Strong themes
Great White,https://www.classification.gov.au/titles/great-white-0,strong,mild,moderate,none,none,mild,Strong themes
Greta,https://www.classification.gov.au/titles/greta-0,strong,moderate,mild,mild,none,very mild,Strong injury detail
Kindred,https://www.classification.gov.au/titles/kindred-1,strong,moderate,moderate,none,none,none,Strong injury detail
Level 16,https://www.classification.gov.au/titles/level-16,strong,moderate,none,none,none,mild,Strong themes
Mean Dreams,https://www.classification.gov.au/titles/mean-dreams,strong,moderate,moderate,none,none,none,Strong themes
Never Let Go,https://www.classification.gov.au/titles/never-let-go-1,strong,moderate,moderate,none,none,none,A strong suicide scene
Nitram,https://www.classification.gov.au/titles/nitram,strong,moderate,moderate,moderate,mild,very mild,Strong themes
The White Helmets,https://www.classification.gov.au/titles/white-helmets,moderate,mild,none,none,none,none,Mature themes
The Seagull,https://www.classification.gov.au/titles/seagull,moderate,very mild,very mild,none,very mild,very mild,Mature themes
The New Boy,https://www.classification.gov.au/titles/new-boy,moderate,mild,mild,none,none,none,Mature themes
The Meg,https://www.classification.gov.au/titles/meg,moderate,very mild,mild,none,none,mild,Science fiction action
The Longest Ride,https://www.classification.gov.au/titles/longest-ride-0,moderate,mild,mild,none,moderate,moderate,Mature themes and sex scenes
The Glass Castle,https://www.classification.gov.au/titles/glass-castle,moderate,mild,mild,none,none,mild,Mature themes
The Apparition,https://www.classification.gov.au/titles/apparition,moderate,mild,mild,none,none,none,Supernatural themes and violence
Tesla,https://www.classification.gov.au/titles/tesla,moderate,none,mild,none,none,none,Mature themes
Radioactive,https://www.classification.gov.au/titles/radioactive,moderate,very mild,mild,none,mild,mild,Mature themes
Queen of the Desert,https://www.classification.gov.au/titles/queen-desert,moderate,mild,mild,none,mild,mild,Mature themes
Gasoline Alley,https://www.classification.gov.au/titles/gasoline-alley,moderate,strong,moderate,moderate,none,moderate,Strong violence and coarse language
Gringo,https://www.classification.gov.au/titles/gringo-1,moderate,strong,moderate,mild,very mild,moderate,Strong violence
Gunpowder Milkshake,https://www.classification.gov.au/titles/gunpowder-milkshake,moderate,strong,moderate,none,none,none,Strong action violence
High Ground,https://www.classification.gov.au/titles/high-ground,moderate,strong,moderate,none,moderate,none,Strong violence
Higher Power,https://www.classification.gov.au/titles/higher-power,moderate,strong,moderate,mild,very mild,mild,Strong violence
Hitman Agent 47,https://www.classification.gov.au/titles/hitman-agent-47,moderate,strong,moderate,none,moderate,none,Strong violence
Hostiles,https://www.classification.gov.au/titles/hostiles,moderate,strong,moderate,none,none,none,Strong violence
In a Valley of Violence,https://www.classification.gov.au/titles/valley-violence,moderate,strong,moderate,none,none,mild,Strong violence
Interceptor,https://www.classification.gov.au/titles/interceptor-4,moderate,strong,moderate,none,none,moderate,Strong violence
Jane Got a Gun,https://www.classification.gov.au/titles/jane-got-gun,moderate,strong,moderate,none,none,mild,Strong violence
Kicks,https://www.classification.gov.au/titles/kicks-0,moderate,strong,moderate,moderate,none,moderate,Strong violence
Last Knights,https://www.classification.gov.au/titles/last-knights,moderate,strong,none,none,none,mild,Strong violence
Lawless,https://www.classification.gov.au/titles/lawless,mild,strong,moderate,none,moderate,mild,Strong bloody violence
About Last Night,https://www.classification.gov.au/titles/about-last-night,mild,none,moderate,moderate,moderate,strong,Strong sexual references and coarse language
Animals,https://www.classification.gov.au/titles/animals,moderate,none,moderate,moderate,moderate,strong,Strong sex scenes and drug use
Chocolate City,https://www.classification.gov.au/titles/chocolate-city,mild,moderate,moderate,none,mild,strong,Strong sexual references
Disobedience,https://www.classification.gov.au/titles/disobedience,moderate,very mild,moderate,none,moderate,strong,Strong sex scenes
Electricity,https://www.classification.gov.au/titles/electricity,moderate,moderate,moderate,mild,moderate,strong,Strong sex scene and themes
Guest House,https://www.classification.gov.au/titles/guest-house-0,strong,moderate,moderate,moderate,moderate,moderate,Strong crude humour
How to Build a Girl,https://www.classification.gov.au/titles/how-build-girl,moderate,mild,moderate,very mild,mild,strong,Strong sex scenes and sexual references
Identity Thief,https://www.classification.gov.au/titles/identity-thief,mild,moderate,moderate,none,mild,strong,Strong sexual references and coarse language
Kids in Love,https://www.classification.gov.au/titles/kids-love,mild,very mild,moderate,none,moderate,strong,Strong sex scene
Not Suitable for Children,https://www.classification.gov.au/titles/not-suitable-for-children,moderate,very mild,moderate,moderate,moderate,strong,Strong sex scenes
31,https://www.classification.gov.au/titles/31-2,strong,high,strong,none,strong,strong,High impact bloody violence
6 Years,https://www.classification.gov.au/titles/6-years,strong,strong,moderate,moderate,high,high,High impact sexual image
Ambulance,https://www.classification.gov.au/titles/ambulance-5,strong,strong,moderate,mild,none,moderate,Strong violence and surgical scenes
Friend Request,https://www.classification.gov.au/titles/friend-request-0,strong,strong,moderate,very mild,none,very mild,Strong horror themes and violence
Free State of Jones,https://www.classification.gov.au/titles/free-state-jones,strong,strong,none,none,none,very mild,Strong themes violence
Generation Wealth,https://www.classification.gov.au/titles/generation-wealth,strong,none,moderate,moderate,strong,strong,"Strong themes, sex and nudity"
Hotel Mumbai,https://www.classification.gov.au/titles/hotel-mumbai,strong,strong,moderate,none,very mild,moderate,Storng themes and violence
Hot Bot,https://www.classification.gov.au/titles/hot-bot,strong,moderate,moderate,none,moderate,strong,Strong crude sexual humour and coarse language
Jexi,https://www.classification.gov.au/titles/jexi,strong,mild,strong,moderate,strong,strong,"Strong crude sexual humour, coarse language and brief nudity"
Kinds of Kindness,https://www.classification.gov.au/titles/kinds-kindness,strong,strong,moderate,none,moderate,strong,"Strong themes, violence, sexual violence and sex scenes"
Last Night in Soho,https://www.classification.gov.au/titles/last-night-soho,strong,strong,strong,moderate,moderate,moderate,"Strong themes, bloody violence and coarse language"
Target Number One,https://www.classification.gov.au/titles/target-number-one,strong,strong,strong,strong,mild,moderate,"Strong themes, drug use, violence and coarse language"
Ten Thousand Saints,https://www.classification.gov.au/titles/ten-thousand-saints,strong,mild,moderate,strong,mild,mild,Strong themes and drug use
The United States Vs Billie Holiday,https://www.classification.gov.au/titles/united-states-vs-billie-holiday,strong,moderate,moderate,strong,moderate,strong,"Strong themes, drug use and sex scenes"
The Wedding Ringer,https://www.classification.gov.au/titles/wedding-ringer,strong,mild,moderate,strong,moderate,strong,"Strong crude humour, sexual references, drug use and brief nudity"
Beasts of No Nation,https://audiovault.net/movies?search=beasts+of+no+nation,strong,strong,moderate,moderate,moderate,moderate,Strong themes and bloody violence
Billy Lynn's Long Halftime Walk,https://www.classification.gov.au/titles/billy-lynns-long-halftime-walk,strong,strong,moderate,moderate,none,moderate,"Strong themes, violence and coarse language"
Bodies Bodies Bodies,https://www.classification.gov.au/titles/bodies-bodies-bodies,strong,strong,strong,moderate,none,moderate,Strong violence and coarse language
Byzantium,https://www.classification.gov.au/titles/byzantium,strong,strong,strong,very mild,moderate,moderate,"Strong, supernatural themes, violence and coarse language"
Capone,https://www.classification.gov.au/titles/capone-0,strong,strong,strong,none,very mild,moderate,"Strong themes, bloody violence and coarse language"
Chernobyl Diaries,https://www.classification.gov.au/titles/chernobyl-diaries,strong,strong,moderate,none,none,mild,"Horror violence, blood and gore, and coarse language"
The Frozen Ground,https://www.classification.gov.au/titles/frozen-ground,strong,strong,strong,strong,moderate,moderate,"Strong themes, sexual violence, drug use and coarse language"
